epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0028648735024034977,6.039186000823975,0.001,0.02673456445336342,6.028483867645264
1,0.009390418417751789,6.019310474395752,0.001,0.018459578976035118,5.911184310913086
2,0.021168231964111328,5.832655429840088,0.001,0.05665181577205658,5.407181262969971
3,0.05713830888271332,5.307773113250732,0.001,0.15213240683078766,4.610675811767578
4,0.11013846844434738,4.613105297088623,0.001,0.2845321595668793,3.85408091545105
5,0.1720515638589859,3.9781670570373535,0.001,0.38001272082328796,3.257801055908203
6,0.2401718944311142,3.433115243911743,0.001,0.4595798850059509,2.8756511211395264
7,0.29333120584487915,3.0652315616607666,0.001,0.4837683141231537,2.611933469772339
8,0.3342352509498596,2.7396979331970215,0.001,0.5257797837257385,2.399097442626953
9,0.3689320385456085,2.5290145874023438,0.001,0.5537874102592468,2.2531027793884277
10,0.42829859256744385,2.2535438537597656,0.001,0.5716104507446289,2.1693484783172607
11,0.45121756196022034,2.095643997192383,0.001,0.5849777460098267,2.070500612258911
12,0.4765239655971527,1.9286713600158691,0.001,0.5996180772781372,2.0283329486846924
13,0.5185421109199524,1.7894412279129028,0.001,0.6212603449821472,1.9990147352218628
14,0.5363679528236389,1.6674374341964722,0.001,0.6276257038116455,1.961030125617981
15,0.5613560676574707,1.578842043876648,0.001,0.6187142133712769,1.9679453372955322
16,0.5748845934867859,1.5124032497406006,0.001,0.6282622814178467,1.932210922241211
17,0.6019417643547058,1.3907171487808228,0.001,0.6187142133712769,1.9456452131271362
18,0.606716513633728,1.3540372848510742,0.001,0.6371737718582153,1.9184108972549438
19,0.6277256011962891,1.2853055000305176,0.001,0.6365372538566589,1.9173598289489746
20,0.6339328289031982,1.2352874279022217,0.001,0.6467218399047852,1.9236035346984863
21,0.650007963180542,1.1779227256774902,0.001,0.6537237167358398,1.9149097204208374
22,0.6643323302268982,1.1216462850570679,0.001,0.6594525575637817,1.9095155000686646
23,0.6692662835121155,1.0903255939483643,0.001,0.6569064259529114,1.9216283559799194
24,0.6711761951446533,1.0598512887954712,0.001,0.656269907951355,1.9317431449890137
25,0.6917077898979187,0.9715461730957031,0.001,0.658179521560669,1.9508334398269653
26,0.6963233947753906,0.987655520439148,0.001,0.6664544939994812,1.973557949066162
27,0.7120802402496338,0.9113625288009644,0.001,0.6613621711730957,2.0136425495147705
28,0.7090561985969543,0.9219136238098145,0.001,0.6670910120010376,2.004960775375366
29,0.7151042222976685,0.8770631551742554,0.0005,0.6670910120010376,1.9794769287109375
30,0.7356358170509338,0.8158670663833618,0.0005,0.6747294664382935,1.9796769618988037
31,0.74327552318573,0.7955853939056396,0.0005,0.6766390800476074,1.9933847188949585
32,0.7361133098602295,0.8080303072929382,0.0005,0.679821789264679,1.9947519302368164
33,0.7478911280632019,0.7852895259857178,0.0005,0.677912175655365,1.9951103925704956
34,0.758713960647583,0.7524470686912537,0.0005,0.6753659844398499,2.009813070297241
0,0.003819831181317568,6.039173126220703,0.001,0.023551877588033676,6.028469085693359
1,0.010186216793954372,6.019225597381592,0.001,0.018459578976035118,5.921400547027588
2,0.018462518230080605,5.823757648468018,0.001,0.06238064914941788,5.371191501617432
3,0.06079898029565811,5.292507648468018,0.001,0.17632082104682922,4.575544834136963
4,0.11905141174793243,4.606216907501221,0.001,0.29089751839637756,3.83170485496521
5,0.1803278625011444,3.9493916034698486,0.001,0.4003819227218628,3.241792678833008
6,0.2505172789096832,3.3875913619995117,0.001,0.4672183394432068,2.8557422161102295
7,0.308451384305954,3.024136543273926,0.001,0.5041375160217285,2.5855090618133545
8,0.3431481719017029,2.676193952560425,0.001,0.5436028242111206,2.3775668144226074
9,0.3826197683811188,2.4507758617401123,0.001,0.5690643191337585,2.2288365364074707
10,0.43291422724723816,2.17038631439209,0.001,0.5862507820129395,2.1444032192230225
11,0.4704758822917938,2.00858473777771,0.001,0.6028007864952087,2.084869623184204
12,0.5027852654457092,1.8683558702468872,0.001,0.6212603449821472,2.039494276046753
13,0.5252268314361572,1.7189393043518066,0.001,0.6231699585914612,1.9988386631011963
14,0.5475091338157654,1.6074531078338623,0.001,0.6250795722007751,1.9808348417282104
15,0.572974681854248,1.5198475122451782,0.001,0.6295353174209595,1.9523743391036987
16,0.5852299928665161,1.439164161682129,0.001,0.6365372538566589,1.9690288305282593
17,0.6062390804290771,1.360219955444336,0.001,0.632718026638031,2.008838176727295
18,0.6210408806800842,1.2381466627120972,0.001,0.6441757082939148,1.9951127767562866
19,0.6336145401000977,1.2196276187896729,0.001,0.6403564810752869,2.01350474357605
20,0.6404584050178528,1.1883395910263062,0.001,0.6460853219032288,2.021190881729126
21,0.6503262519836426,1.1309406757354736,0.001,0.6518141031265259,2.0333609580993652
22,0.6862963438034058,1.0481276512145996,0.0005,0.6556333303451538,2.028264045715332
23,0.691866934299469,0.9932373762130737,0.0005,0.6556333303451538,2.042170763015747
24,0.6934585571289062,0.9771365523338318,0.0005,0.6556333303451538,2.0390801429748535
25,0.7122393846511841,0.9243217706680298,0.0005,0.6600891351699829,2.051529884338379
26,0.720993161201477,0.9122599959373474,0.0005,0.6639083623886108,2.060447931289673
27,0.713512659072876,0.9030297994613647,0.0005,0.6575429439544678,2.0648224353790283
